ID	imagePath	data	noise	training_ratio	batch_size	X1	X2	X1Squared	X2Squared	X1X2	sinX1	sinX2	layer_count	neuron_count	H1	H2	H3	H4	H5	H6	learning_rate	activation	regularization	regularization_rate	epoch	iteration	total_time	mean_time	train_loss	test_loss	train_TPR	train_FPR	test_TPR	test_FPR
0	images/0.png	circle	25	40	2	1	1	1	1	1	1	1	1	8	8	0	0	0	0	0	0.3	Linear	L1	0.01	25	2500	995.687	39.827	0.693	0.693	0	0	0	0
1	images/1.png	circle	25	40	2	1	1	1	1	1	1	1	1	8	8	0	0	0	0	0	0.3	Linear	L1	0.01	50	5000	2007.103	40.142	0.693	0.693	0	0	0	0
2	images/2.png	circle	25	40	2	1	1	1	1	1	1	1	1	8	8	0	0	0	0	0	0.3	Linear	L1	0.01	100	10000	4021.182	40.212	0.693	0.693	0	0	0	0
3	images/3.png	circle	25	40	2	1	1	1	1	1	1	1	1	8	8	0	0	0	0	0	0.3	Linear	L1	0.01	200	20000	8035.029	40.175	0.693	0.693	0	0	0	0
4	images/4.png	circle	25	40	2	1	1	1	1	1	1	1	1	8	8	0	0	0	0	0	0.3	Linear	L1	0.01	400	40000	16027.839	40.07	0.693	0.693	0	0	0	0
5	images/5.png	circle	25	60	23	0	0	0	1	0	0	0	2	9	1	8	0	0	0	0	0.1	Tanh	None	0.3	25	217	107.504	4.3	0.627	0.62	1.0	1.0	1.0	1.0
6	images/6.png	circle	25	60	23	0	0	0	1	0	0	0	2	9	1	8	0	0	0	0	0.1	Tanh	None	0.3	50	434	231.634	4.633	0.626	0.618	1.0	1.0	1.0	1.0
7	images/7.png	circle	25	60	23	0	0	0	1	0	0	0	2	9	1	8	0	0	0	0	0.1	Tanh	None	0.3	100	869	456.61	4.566	0.624	0.616	1.0	1.0	1.0	1.0
8	images/8.png	circle	25	60	23	0	0	0	1	0	0	0	2	9	1	8	0	0	0	0	0.1	Tanh	None	0.3	200	1739	891.329	4.457	0.621	0.616	1.0	1.0	1.0	1.0
9	images/9.png	circle	25	60	23	0	0	0	1	0	0	0	2	9	1	8	0	0	0	0	0.1	Tanh	None	0.3	400	3478	1732.255	4.331	0.622	0.615	0.979	0.347	1.0	0.364
10	images/10.png	circle	25	40	5	1	1	1	1	1	1	0	4	10	1	5	1	3	0	0	0.001	Linear	L1	0.1	25	1000	496.043	19.842	0.694	0.691	0.344	0.25	0.327	0.279
11	images/11.png	circle	25	40	5	1	1	1	1	1	1	0	4	10	1	5	1	3	0	0	0.001	Linear	L1	0.1	50	2000	990.728	19.815	0.693	0.69	0.344	0.25	0.327	0.279
12	images/12.png	circle	25	40	5	1	1	1	1	1	1	0	4	10	1	5	1	3	0	0	0.001	Linear	L1	0.1	100	4000	1975.818	19.758	0.694	0.69	0.344	0.25	0.327	0.294
13	images/13.png	circle	25	40	5	1	1	1	1	1	1	0	4	10	1	5	1	3	0	0	0.001	Linear	L1	0.1	200	8000	3951.025	19.755	0.691	0.689	0.344	0.25	0.327	0.294
14	images/14.png	circle	25	40	5	1	1	1	1	1	1	0	4	10	1	5	1	3	0	0	0.001	Linear	L1	0.1	400	16000	7889.409	19.724	0.687	0.681	0.344	0.25	0.269	0.309
15	images/15.png	circle	25	80	16	1	1	1	1	1	1	0	5	16	5	2	7	1	1	0	10.0	Sigmoid	L2	10.0	25	312	185.047	7.402	0.692	0.688	0	0	0	0
16	images/16.png	circle	25	80	16	1	1	1	1	1	1	0	5	16	5	2	7	1	1	0	10.0	Sigmoid	L2	10.0	50	625	362.333	7.247	0.693	0.68	0	0	0	0
17	images/17.png	circle	25	80	16	1	1	1	1	1	1	0	5	16	5	2	7	1	1	0	10.0	Sigmoid	L2	10.0	100	1250	719.225	7.192	0.689	0.686	0	0	0	0
18	images/18.png	circle	25	80	16	1	1	1	1	1	1	0	5	16	5	2	7	1	1	0	10.0	Sigmoid	L2	10.0	200	2500	1428.088	7.14	0.693	0.693	0	0	0	0
19	images/19.png	circle	25	80	16	1	1	1	1	1	1	0	5	16	5	2	7	1	1	0	10.0	Sigmoid	L2	10.0	400	5000	2840.563	7.101	0.693	0.693	0	0	0	0
20	images/20.png	circle	25	20	14	1	1	1	1	1	1	1	2	9	1	8	0	0	0	0	1.0	Linear	L1	0.3	25	357	167.42	6.697	0.698	0.693	0.053	0.619	0.077	0.368
21	images/21.png	circle	25	20	14	1	1	1	1	1	1	1	2	9	1	8	0	0	0	0	1.0	Linear	L1	0.3	50	714	352.18	7.044	0.702	0.693	0.053	0.619	0.077	0.379
22	images/22.png	circle	25	20	14	1	1	1	1	1	1	1	2	9	1	8	0	0	0	0	1.0	Linear	L1	0.3	100	1428	704.306	7.043	0.711	0.693	0.053	0.619	0.077	0.389
23	images/23.png	circle	25	20	14	1	1	1	1	1	1	1	2	9	1	8	0	0	0	0	1.0	Linear	L1	0.3	200	2857	1359.412	6.797	0.699	0.693	0.053	0.619	0.062	0.389
24	images/24.png	circle	25	20	14	1	1	1	1	1	1	1	2	9	1	8	0	0	0	0	1.0	Linear	L1	0.3	400	5714	2692.674	6.732	0.693	0.693	0.053	0.619	0.062	0.389
25	images/25.png	circle	25	40	4	1	0	0	1	1	1	1	1	3	3	0	0	0	0	0	0.0001	Tanh	L2	0.001	25	1250	517.438	20.698	0.804	0.81	0.25	0.167	0.365	0.176
26	images/26.png	circle	25	40	4	1	0	0	1	1	1	1	1	3	3	0	0	0	0	0	0.0001	Tanh	L2	0.001	50	2500	1034.693	20.694	0.799	0.806	0.25	0.167	0.385	0.176
27	images/27.png	circle	25	40	4	1	0	0	1	1	1	1	1	3	3	0	0	0	0	0	0.0001	Tanh	L2	0.001	100	5000	2073.315	20.733	0.789	0.797	0.25	0.167	0.404	0.176
28	images/28.png	circle	25	40	4	1	0	0	1	1	1	1	1	3	3	0	0	0	0	0	0.0001	Tanh	L2	0.001	200	10000	4149.185	20.746	0.77	0.778	0.312	0.167	0.423	0.176
29	images/29.png	circle	25	40	4	1	0	0	1	1	1	1	1	3	3	0	0	0	0	0	0.0001	Tanh	L2	0.001	400	20000	8257.22	20.643	0.739	0.739	0.312	0.167	0.442	0.176
30	images/30.png	circle	25	30	28	1	0	0	1	0	0	1	6	31	8	3	7	3	8	2	0.01	Tanh	None	0.003	25	178	122.688	4.908	0.566	0.465	0.88	0.2	0.475	0.16
31	images/31.png	circle	25	30	28	1	0	0	1	0	0	1	6	31	8	3	7	3	8	2	0.01	Tanh	None	0.003	50	357	249.71	4.994	0.536	0.43	0.92	0.2	0.542	0.185
32	images/32.png	circle	25	30	28	1	0	0	1	0	0	1	6	31	8	3	7	3	8	2	0.01	Tanh	None	0.003	100	714	479.025	4.79	0.474	0.364	0.92	0.086	0.559	0.074
33	images/33.png	circle	25	30	28	1	0	0	1	0	0	1	6	31	8	3	7	3	8	2	0.01	Tanh	None	0.003	200	1428	943.973	4.72	0.601	0.228	0.96	0.029	0.61	0.259
34	images/34.png	circle	25	30	28	1	0	0	1	0	0	1	6	31	8	3	7	3	8	2	0.01	Tanh	None	0.003	400	2857	1855.4	4.639	0.645	0.207	0.96	0.029	0.627	0.247
35	images/35.png	circle	25	60	9	1	1	0	1	0	0	0	1	5	5	0	0	0	0	0	0.3	Tanh	None	0.001	25	555	240.839	9.634	0.282	0.228	0.896	0.028	0.889	0.045
36	images/36.png	circle	25	60	9	1	1	0	1	0	0	0	1	5	5	0	0	0	0	0	0.3	Tanh	None	0.001	50	1111	500.779	10.016	0.281	0.223	0.875	0.028	0.889	0.045
37	images/37.png	circle	25	60	9	1	1	0	1	0	0	0	1	5	5	0	0	0	0	0	0.3	Tanh	None	0.001	100	2222	993.951	9.94	0.29	0.218	0.896	0.028	0.889	0.045
38	images/38.png	circle	25	60	9	1	1	0	1	0	0	0	1	5	5	0	0	0	0	0	0.3	Tanh	None	0.001	200	4444	1954.886	9.774	0.297	0.215	0.875	0.028	0.861	0.045
39	images/39.png	circle	25	60	9	1	1	0	1	0	0	0	1	5	5	0	0	0	0	0	0.3	Tanh	None	0.001	400	8888	3850.723	9.627	0.302	0.214	0.875	0.028	0.861	0.045
40	images/40.png	circle	25	30	21	0	0	1	0	0	0	0	2	10	6	4	0	0	0	0	0.3	ReLU	L2	1.0	25	238	120.476	4.819	0.698	0.693	0.72	0.8	0.576	0.963
41	images/41.png	circle	25	30	21	0	0	1	0	0	0	0	2	10	6	4	0	0	0	0	0.3	ReLU	L2	1.0	50	476	252.972	5.059	0.697	0.693	0.72	0.8	0.559	0.951
42	images/42.png	circle	25	30	21	0	0	1	0	0	0	0	2	10	6	4	0	0	0	0	0.3	ReLU	L2	1.0	100	952	498.319	4.983	0.696	0.693	0.72	0.771	0.542	0.938
43	images/43.png	circle	25	30	21	0	0	1	0	0	0	0	2	10	6	4	0	0	0	0	0.3	ReLU	L2	1.0	200	1904	976.427	4.882	0.696	0.693	0.68	0.771	0.508	0.914
44	images/44.png	circle	25	30	21	0	0	1	0	0	0	0	2	10	6	4	0	0	0	0	0.3	ReLU	L2	1.0	400	3809	1898.729	4.747	0.697	0.693	0.56	0.657	0.407	0.864
45	images/45.png	circle	25	30	29	0	0	1	0	0	0	0	1	5	5	0	0	0	0	0	0.01	ReLU	L1	0.3	25	172	84.266	3.371	0.702	0.697	0.04	0	0.237	0.012
46	images/46.png	circle	25	30	29	0	0	1	0	0	0	0	1	5	5	0	0	0	0	0	0.01	ReLU	L1	0.3	50	344	177.306	3.546	0.701	0.694	0	0	0.153	0
47	images/47.png	circle	25	30	29	0	0	1	0	0	0	0	1	5	5	0	0	0	0	0	0.01	ReLU	L1	0.3	100	689	360.666	3.607	0.702	0.692	0	0	0	0
48	images/48.png	circle	25	30	29	0	0	1	0	0	0	0	1	5	5	0	0	0	0	0	0.01	ReLU	L1	0.3	200	1379	701.36	3.507	0.705	0.691	0	0	0	0
49	images/49.png	circle	25	30	29	0	0	1	0	0	0	0	1	5	5	0	0	0	0	0	0.01	ReLU	L1	0.3	400	2758	1350.37	3.376	0.707	0.69	0	0	0	0
