ID	imagePath	data	noise	training_ratio	batch_size	X1	X2	X1Squared	X2Squared	X1X2	sinX1	sinX2	layer_count	neuron_count	H1	H2	H3	H4	H5	H6	learning_rate	activation	regularization	regularization_rate	epoch	iteration	total_time	mean_time	train_loss	test_loss	train_TPR	train_FPR	test_TPR	test_FPR
0	images/0.png	gauss	25	70	4	1	1	1	1	1	1	1	4	12	1	6	1	4	0	0	0.3	ReLU	L2	0.003	25	1250	602.371	24.095	0.44	0.506	0.873	0.029	0.966	0.032
1	images/1.png	gauss	25	70	4	1	1	1	1	1	1	1	4	12	1	6	1	4	0	0	0.3	ReLU	L2	0.003	50	2500	1220.175	24.403	0.437	0.505	0.873	0.029	0.966	0.032
2	images/2.png	gauss	25	70	4	1	1	1	1	1	1	1	4	12	1	6	1	4	0	0	0.3	ReLU	L2	0.003	100	5000	2415.267	24.153	0.435	0.504	0.887	0.029	0.966	0.032
3	images/3.png	gauss	25	70	4	1	1	1	1	1	1	1	4	12	1	6	1	4	0	0	0.3	ReLU	L2	0.003	200	10000	4810.347	24.052	0.194	0.27	0.887	0.029	0.966	0.032
4	images/4.png	gauss	25	70	4	1	1	1	1	1	1	1	4	12	1	6	1	4	0	0	0.3	ReLU	L2	0.003	400	20000	9562.102	23.905	0.194	0.27	0.887	0.029	0.966	0.032
5	images/5.png	gauss	25	30	8	1	1	1	1	0	1	1	3	15	6	8	1	0	0	0	1.0	Sigmoid	None	0.1	25	625	295.543	11.822	0.694	0.693	0	0	0	0
6	images/6.png	gauss	25	30	8	1	1	1	1	0	1	1	3	15	6	8	1	0	0	0	1.0	Sigmoid	None	0.1	50	1250	605.346	12.107	0.694	0.693	0	0	0	0
7	images/7.png	gauss	25	30	8	1	1	1	1	0	1	1	3	15	6	8	1	0	0	0	1.0	Sigmoid	None	0.1	100	2500	1202.515	12.025	0.694	0.692	0	0	0	0
8	images/8.png	gauss	25	30	8	1	1	1	1	0	1	1	3	15	6	8	1	0	0	0	1.0	Sigmoid	None	0.1	200	5000	2374.412	11.872	0.533	0.458	0	0	0	0
9	images/9.png	gauss	25	30	8	1	1	1	1	0	1	1	3	15	6	8	1	0	0	0	1.0	Sigmoid	None	0.1	400	10000	4706.032	11.765	0.344	0.234	1.0	0.097	0.944	0.159
10	images/10.png	gauss	25	80	24	1	0	0	0	1	1	0	5	28	8	8	3	8	1	0	0.3	Linear	L2	3.0	25	208	122.412	4.896	0.693	0.693	0.852	0.734	0.895	0.667
11	images/11.png	gauss	25	80	24	1	0	0	0	1	1	0	5	28	8	8	3	8	1	0	0.3	Linear	L2	3.0	50	416	246.861	4.937	0.693	0.693	0.852	0.734	0.895	0.667
12	images/12.png	gauss	25	80	24	1	0	0	0	1	1	0	5	28	8	8	3	8	1	0	0.3	Linear	L2	3.0	100	833	472.827	4.728	0.693	0.693	0.852	0.734	0.895	0.667
13	images/13.png	gauss	25	80	24	1	0	0	0	1	1	0	5	28	8	8	3	8	1	0	0.3	Linear	L2	3.0	200	1666	953.965	4.77	0.693	0.693	0.852	0.734	0.895	0.667
