ID	imagePath	data	noise	training_ratio	batch_size	X1	X2	X1Squared	X2Squared	X1X2	sinX1	sinX2	layer_count	neuron_count	H1	H2	H3	H4	H5	H6	learning_rate	activation	regularization	regularization_rate	epoch	iteration	total_time	mean_time	train_loss	test_loss	train_TPR	train_FPR	test_TPR	test_FPR
0	images/0.png	spiral	25	40	1	1	0	0	1	0	0	0	1	7	7	0	0	0	0	0	1.0	Sigmoid	L1	0.03	25	5000	1876.589	75.064	0.748	0.623	0.31	0.158	0.207	0.258
1	images/1.png	spiral	25	40	1	1	0	0	1	0	0	0	1	7	7	0	0	0	0	0	1.0	Sigmoid	L1	0.03	50	10000	3747.718	74.954	0.701	0.63	0.167	0	0.034	0.065
2	images/2.png	spiral	25	40	1	1	0	0	1	0	0	0	1	7	7	0	0	0	0	0	1.0	Sigmoid	L1	0.03	100	20000	7484.011	74.84	0.743	0.622	0.69	0.579	0.569	0.5
3	images/3.png	spiral	25	40	1	1	0	0	1	0	0	0	1	7	7	0	0	0	0	0	1.0	Sigmoid	L1	0.03	200	40000	14990.063	74.95	0.737	0.622	0.69	0.579	0.569	0.452
4	images/4.png	spiral	25	40	1	1	0	0	1	0	0	0	1	7	7	0	0	0	0	0	1.0	Sigmoid	L1	0.03	400	80000	29908.702	74.772	0.738	0.622	0.714	0.579	0.569	0.452
5	images/5.png	spiral	25	30	22	0	0	0	0	1	0	0	3	15	7	6	2	0	0	0	0.0001	ReLU	L2	0.01	25	227	120.089	4.804	0.82	0.831	0.167	0.067	0.086	0.071
6	images/6.png	spiral	25	30	22	0	0	0	0	1	0	0	3	15	7	6	2	0	0	0	0.0001	ReLU	L2	0.01	50	454	253.888	5.078	0.819	0.83	0.2	0.1	0.1	0.071
7	images/7.png	spiral	25	30	22	0	0	0	0	1	0	0	3	15	7	6	2	0	0	0	0.0001	ReLU	L2	0.01	100	909	482.821	4.828	0.818	0.83	0.2	0.1	0.129	0.086
8	images/8.png	spiral	25	30	22	0	0	0	0	1	0	0	3	15	7	6	2	0	0	0	0.0001	ReLU	L2	0.01	200	1818	940.39	4.702	0.816	0.827	0.2	0.133	0.143	0.129
9	images/9.png	spiral	25	30	22	0	0	0	0	1	0	0	3	15	7	6	2	0	0	0	0.0001	ReLU	L2	0.01	400	3636	1851.297	4.628	0.81	0.823	0.233	0.2	0.186	0.143
10	images/10.png	spiral	25	10	15	0	1	0	1	0	0	0	2	11	4	7	0	0	0	0	1e-05	Linear	L2	0.003	25	333	155.987	6.239	1.044	0.983	0.222	0.273	0.165	0.135
11	images/11.png	spiral	25	10	15	0	1	0	1	0	0	0	2	11	4	7	0	0	0	0	1e-05	Linear	L2	0.003	50	666	329.041	6.581	1.043	0.982	0.222	0.273	0.165	0.135
12	images/12.png	spiral	25	10	15	0	1	0	1	0	0	0	2	11	4	7	0	0	0	0	1e-05	Linear	L2	0.003	100	1333	653.738	6.537	1.043	0.98	0.222	0.273	0.154	0.135
13	images/13.png	spiral	25	10	15	0	1	0	1	0	0	0	2	11	4	7	0	0	0	0	1e-05	Linear	L2	0.003	200	2666	1267.127	6.336	1.043	0.977	0.222	0.273	0.154	0.135
14	images/14.png	spiral	25	10	15	0	1	0	1	0	0	0	2	11	4	7	0	0	0	0	1e-05	Linear	L2	0.003	400	5333	2472.464	6.181	1.042	0.971	0.222	0.273	0.143	0.124
15	images/15.png	spiral	25	30	30	0	1	0	0	1	1	0	1	3	3	0	0	0	0	0	0.3	Sigmoid	L2	0.001	25	166	79.169	3.167	0.696	0.653	0.6	0.3	0.443	0.371
