index	dataset	noise	batch_size	learning_rate	hidden_layers	neurons	activation	regularization	regularization_rate	step	train_loss	test_loss
0	spiral	0.25	25	0.3	4	4	ReLU	None	1.0	100	0.583814	0.685018
1	spiral	0.25	25	0.3	4	4	ReLU	None	1.0	500	0.615964	0.735365
2	spiral	0.25	25	0.3	4	4	ReLU	None	1.0	1000	0.508894	0.605417
3	spiral	0.25	25	0.3	4	4	ReLU	None	1.0	2000	0.426223	0.680258
4	spiral	0.25	25	0.3	4	4	ReLU	None	1.0	4000	0.627322	0.703323
5	spiral	0.33	5	0.001	2	4	Sigmoid	None	0.3	100	0.675451	0.690995
6	spiral	0.33	5	0.001	2	4	Sigmoid	None	0.3	500	0.641134	0.690888
7	spiral	0.33	5	0.001	2	4	Sigmoid	None	0.3	1000	0.7377	0.690521
8	spiral	0.33	5	0.001	2	4	Sigmoid	None	0.3	2000	0.627681	0.69024
9	spiral	0.33	5	0.001	2	4	Sigmoid	None	0.3	4000	0.674389	0.689445
10	circle	0.16	13	1e-05	1	2	ReLU	None	0.1	100	0.801885	0.804259
11	circle	0.16	13	1e-05	1	2	ReLU	None	0.1	500	0.734737	0.803698
12	circle	0.16	13	1e-05	1	2	ReLU	None	0.1	1000	0.788347	0.803002
13	circle	0.16	13	1e-05	1	2	ReLU	None	0.1	2000	0.703487	0.801612
14	circle	0.16	13	1e-05	1	2	ReLU	None	0.1	4000	0.735515	0.798876
15	spiral	0.49	8	3.0	4	3	Tanh	None	0.01	100	0.632607	0.722346
16	spiral	0.49	8	3.0	4	3	Tanh	None	0.01	500	0.630859	0.699589
17	spiral	0.49	8	3.0	4	3	Tanh	None	0.01	1000	0.587115	0.924196
18	spiral	0.49	8	3.0	4	3	Tanh	None	0.01	2000	0.937755	0.782663
19	spiral	0.49	8	3.0	4	3	Tanh	None	0.01	4000	0.697975	0.689911
20	xor	0.27	29	3.0	5	8	ReLU	L2	0.0	100	0.863509	0.765268
21	xor	0.27	29	3.0	5	8	ReLU	L2	0.0	500	0.842727	0.813647
22	xor	0.27	29	3.0	5	8	ReLU	L2	0.0	1000	0.863509	0.813647
23	xor	0.27	29	3.0	5	8	ReLU	L2	0.0	2000	0.745103	0.813647
24	xor	0.27	29	3.0	5	8	ReLU	L2	0.0	4000	0.941608	0.813646
25	xor	0.04	5	0.003	5	6	Tanh	L1	1.0	100	0.600232	0.656563
26	xor	0.04	5	0.003	5	6	Tanh	L1	1.0	500	0.560251	0.465607
27	xor	0.04	5	0.003	5	6	Tanh	L1	1.0	1000	0.219334	0.39479
28	xor	0.04	5	0.003	5	6	Tanh	L1	1.0	2000	0.272353	0.367305
29	xor	0.04	5	0.003	5	6	Tanh	L1	1.0	4000	0.376187	0.347044
30	spiral	0.30	19	0.1	0	0	ReLU	L2	0.01	100	0.691094	0.746296
31	spiral	0.30	19	0.1	0	0	ReLU	L2	0.01	500	0.732053	0.74276
32	spiral	0.30	19	0.1	0	0	ReLU	L2	0.01	1000	0.66828	0.732704
33	spiral	0.30	19	0.1	0	0	ReLU	L2	0.01	2000	0.57033	0.727046
34	spiral	0.30	19	0.1	0	0	ReLU	L2	0.01	4000	0.587276	0.724981
35	xor	0.46	23	10.0	5	8	Linear	L1	0.03	100	0.693147	0.693147
36	xor	0.46	23	10.0	5	8	Linear	L1	0.03	500	0.693147	0.693147
37	xor	0.46	23	10.0	5	8	Linear	L1	0.03	1000	0.693147	0.693147
38	xor	0.46	23	10.0	5	8	Linear	L1	0.03	2000	0.693147	0.693147
39	xor	0.46	23	10.0	5	8	Linear	L1	0.03	4000	0.693147	0.693147
40	spiral	0.03	1	0.3	2	1	Tanh	L1	0.1	100	0.667924	0.686973
41	spiral	0.03	1	0.3	2	1	Tanh	L1	0.1	500	0.421655	0.87454
42	spiral	0.03	1	0.3	2	1	Tanh	L1	0.1	1000	0.826864	0.690904
43	spiral	0.03	1	0.3	2	1	Tanh	L1	0.1	2000	0.774953	0.700849
44	spiral	0.03	1	0.3	2	1	Tanh	L1	0.1	4000	0.595091	0.702122
45	xor	0.37	20	1e-05	4	6	Linear	L1	0.0	100	1.29216	1.04359
46	xor	0.37	20	1e-05	4	6	Linear	L1	0.0	500	1.27565	1.03014
47	xor	0.37	20	1e-05	4	6	Linear	L1	0.0	1000	1.27206	1.02668
48	xor	0.37	20	1e-05	4	6	Linear	L1	0.0	2000	1.2601	1.01031
49	xor	0.37	20	1e-05	4	6	Linear	L1	0.0	4000	1.18152	0.966402
50	circle	0.01	23	1e-05	0	0	Tanh	L2	0.3	100	0.893923	0.756278
51	circle	0.01	23	1e-05	0	0	Tanh	L2	0.3	500	0.712279	0.75617
52	circle	0.01	23	1e-05	0	0	Tanh	L2	0.3	1000	0.865308	0.756036
53	circle	0.01	23	1e-05	0	0	Tanh	L2	0.3	2000	0.786364	0.755769
54	circle	0.01	23	1e-05	0	0	Tanh	L2	0.3	4000	0.897626	0.755236
55	gauss	0.47	4	0.001	5	4	ReLU	None	0.1	100	0.957006	0.987674
56	gauss	0.47	4	0.001	5	4	ReLU	None	0.1	500	0.516659	0.815545
57	gauss	0.47	4	0.001	5	4	ReLU	None	0.1	1000	0.187688	0.402387
58	gauss	0.47	4	0.001	5	4	ReLU	None	0.1	2000	0.209103	0.371483
59	gauss	0.47	4	0.001	5	4	ReLU	None	0.1	4000	0.177215	0.3494
60	spiral	0.43	23	0.1	4	5	Linear	None	0.03	100	0.619293	0.708558
61	spiral	0.43	23	0.1	4	5	Linear	None	0.03	500	0.643911	0.707408
62	spiral	0.43	23	0.1	4	5	Linear	None	0.03	1000	0.643911	0.706404
63	spiral	0.43	23	0.1	4	5	Linear	None	0.03	2000	0.619293	0.704453
64	spiral	0.43	23	0.1	4	5	Linear	None	0.03	4000	0.619293	0.701083
65	xor	0.49	4	3.0	6	4	Tanh	L2	3.0	100	0.702848	0.696603
66	xor	0.49	4	3.0	6	4	Tanh	L2	3.0	500	0.414438	0.552491
67	xor	0.49	4	3.0	6	4	Tanh	L2	3.0	1000	0.410611	0.562328
68	xor	0.49	4	3.0	6	4	Tanh	L2	3.0	2000	0.413503	0.56288
69	xor	0.49	4	3.0	6	4	Tanh	L2	3.0	4000	0.411052	0.550577
70	circle	0.44	12	0.0001	6	6	ReLU	L2	0.3	100	0.725875	0.741604
71	circle	0.44	12	0.0001	6	6	ReLU	L2	0.3	500	0.682053	0.716779
72	circle	0.44	12	0.0001	6	6	ReLU	L2	0.3	1000	0.68542	0.710576
73	circle	0.44	12	0.0001	6	6	ReLU	L2	0.3	2000	0.68518	0.70603
74	circle	0.44	12	0.0001	6	6	ReLU	L2	0.3	4000	0.653633	0.705166
75	spiral	0.16	15	10.0	1	2	Tanh	L1	3.0	100	0.692031	0.712902
76	spiral	0.16	15	10.0	1	2	Tanh	L1	3.0	500	0.666306	0.766082
77	spiral	0.16	15	10.0	1	2	Tanh	L1	3.0	1000	0.692311	0.696546
78	spiral	0.16	15	10.0	1	2	Tanh	L1	3.0	2000	0.692915	0.704966
79	spiral	0.16	15	10.0	1	2	Tanh	L1	3.0	4000	0.690015	0.678085
80	circle	0.11	28	0.01	4	7	ReLU	None	0.3	100	0.790852	0.810027
81	circle	0.11	28	0.01	4	7	ReLU	None	0.3	500	0.437744	0.516591
82	circle	0.11	28	0.01	4	7	ReLU	None	0.3	1000	0.174153	0.304772
83	circle	0.11	28	0.01	4	7	ReLU	None	0.3	2000	0.136497	0.2428
84	circle	0.11	28	0.01	4	7	ReLU	None	0.3	4000	0.129833	0.235229
85	circle	0.29	14	0.01	1	8	Linear	L1	1.0	100	0.672912	0.671845
86	circle	0.29	14	0.01	1	8	Linear	L1	1.0	500	0.653201	0.624021
87	circle	0.29	14	0.01	1	8	Linear	L1	1.0	1000	0.576961	0.606552
88	circle	0.29	14	0.01	1	8	Linear	L1	1.0	2000	0.512094	0.582857
89	circle	0.29	14	0.01	1	8	Linear	L1	1.0	4000	0.666413	0.580509
90	gauss	0.45	28	3.0	3	6	Linear	L1	0.01	100	0.126928	0.290193
91	gauss	0.45	28	3.0	3	6	Linear	L1	0.01	500	0.484071	0.290193
92	gauss	0.45	28	3.0	3	6	Linear	L1	0.01	1000	0.126928	0.290193
93	gauss	0.45	28	3.0	3	6	Linear	L1	0.01	2000	0.269785	0.290193
94	gauss	0.45	28	3.0	3	6	Linear	L1	0.01	4000	0.484071	0.290193
95	gauss	0.44	3	0.003	6	3	Sigmoid	L1	0.3	100	0.456408	0.748734
96	gauss	0.44	3	0.003	6	3	Sigmoid	L1	0.3	500	0.773131	0.722789
97	gauss	0.44	3	0.003	6	3	Sigmoid	L1	0.3	1000	0.577248	0.709885
98	gauss	0.44	3	0.003	6	3	Sigmoid	L1	0.3	2000	0.720175	0.700927
99	gauss	0.44	3	0.003	6	3	Sigmoid	L1	0.3	4000	0.681993	0.697197
