ID	imagePath	data	noise	training_ratio	batch_size	X1	X2	X1Squared	X2Squared	X1X2	sinX1	sinX2	layer_count	neuron_count	H1	H2	H3	H4	H5	H6	learning_rate	activation	regularization	regularization_rate	epoch	total_time	mean_time	train_loss	test_loss	TPR	FPR
0	../output/full/images/0.png	circle	45	80	29	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0.003	Linear	L2	10.0	100	78.45783233642578	0.7845783233642578	1.1083	1.08385	0.8461538461538461	0.8518518518518519
1	../output/full/images/1.png	circle	45	80	29	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0.003	Linear	L2	10.0	200	144.5777416229248	0.722888708114624	1.10615	1.0782	0.8461538461538461	0.8518518518518519
2	../output/full/images/2.png	circle	45	80	29	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0.003	Linear	L2	10.0	400	296.89979553222656	0.7422494888305664	1.10044	1.06522	0.8461538461538461	0.8148148148148148
3	../output/full/images/3.png	circle	45	80	29	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0.003	Linear	L2	10.0	800	553.5078048706055	0.6918847560882568	0.899925	0.796179	0.7692307692307693	0.7407407407407407
4	../output/full/images/4.png	circle	45	80	29	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0.003	Linear	L2	10.0	1600	1018.8477039337158	0.6367798149585724	0.836701	0.741616	0.6153846153846154	0.7037037037037037
5	../output/full/images/5.png	xor	25	40	20	1	1	1	1	0	1	0	1	4	4	0	0	0	0	0	0.0001	Tanh	None	3.0	100	81.03680610656738	0.8103680610656738	0.754378	0.782573	0.967741935483871	0.9482758620689655
6	../output/full/images/6.png	xor	25	40	20	1	1	1	1	0	1	0	1	4	4	0	0	0	0	0	0.0001	Tanh	None	3.0	200	149.79267120361328	0.7489633560180664	0.752776	0.780211	0.967741935483871	0.9482758620689655
7	../output/full/images/7.png	xor	25	40	20	1	1	1	1	0	1	0	1	4	4	0	0	0	0	0	0.0001	Tanh	None	3.0	400	292.522668838501	0.7313066720962524	0.74971	0.775659	0.967741935483871	0.9482758620689655
8	../output/full/images/8.png	xor	25	40	20	1	1	1	1	0	1	0	1	4	4	0	0	0	0	0	0.0001	Tanh	None	3.0	800	589.470624923706	0.7368382811546326	0.744105	0.767216	0.967741935483871	0.9482758620689655
9	../output/full/images/9.png	xor	25	40	20	1	1	1	1	0	1	0	1	4	4	0	0	0	0	0	0.0001	Tanh	None	3.0	1600	1193.448543548584	0.745905339717865	0.734779	0.752707	0.967741935483871	0.9482758620689655
10	../output/full/images/10.png	circle	15	60	10	0	0	1	1	0	0	0	3	15	2	8	5	0	0	0	0.0001	Linear	L1	0.01	100	105.81707954406738	1.0581707954406738	0.81843	1.01907	1.0	1.0
11	../output/full/images/11.png	circle	15	60	10	0	0	1	1	0	0	0	3	15	2	8	5	0	0	0	0.0001	Linear	L1	0.01	200	199.99408721923828	0.9999704360961914	0.816238	1.01705	1.0	1.0
12	../output/full/images/12.png	circle	15	60	10	0	0	1	1	0	0	0	3	15	2	8	5	0	0	0	0.0001	Linear	L1	0.01	400	374.24302101135254	0.9356075525283813	0.812132	1.01333	1.0	1.0
13	../output/full/images/13.png	circle	15	60	10	0	0	1	1	0	0	0	3	15	2	8	5	0	0	0	0.0001	Linear	L1	0.01	800	726.1571884155273	0.9076964855194092	0.805511	1.00718	1.0	1.0
14	../output/full/images/14.png	circle	15	60	10	0	0	1	1	0	0	0	3	15	2	8	5	0	0	0	0.0001	Linear	L1	0.01	1600	1415.9700870513916	0.8849813044071198	0.796633	0.998352	1.0	1.0
15	../output/full/images/15.png	circle	50	30	13	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	10.0	Sigmoid	None	10.0	100	68.77374649047852	0.6877374649047852	0.770008	0.676027	0.29545454545454547	0.4791666666666667
16	../output/full/images/16.png	circle	50	30	13	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	10.0	Sigmoid	None	10.0	200	127.62761116027832	0.6381380558013916	0.715155	0.654385	0.22727272727272727	0.3541666666666667
17	../output/full/images/17.png	circle	50	30	13	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	10.0	Sigmoid	None	10.0	400	242.3877716064453	0.6059694290161133	0.730863	0.64289	0.25	0.40625
18	../output/full/images/18.png	circle	50	30	13	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	10.0	Sigmoid	None	10.0	800	475.0046730041504	0.593755841255188	0.716441	0.603055	0.4318181818181818	0.4375
19	../output/full/images/19.png	circle	50	30	13	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	10.0	Sigmoid	None	10.0	1600	942.2144889831543	0.5888840556144714	0.716626	0.601602	0.4772727272727273	0.4479166666666667
20	../output/full/images/20.png	gauss	0	10	12	1	1	1	1	1	1	1	2	16	8	8	0	0	0	0	0.01	Sigmoid	L2	0.1	100	86.42888069152832	0.8642888069152832	0.537656	0.541186	0	0
21	../output/full/images/21.png	gauss	0	10	12	1	1	1	1	1	1	1	2	16	8	8	0	0	0	0	0.01	Sigmoid	L2	0.1	200	172.78504371643066	0.8639252185821533	0.485065	0.486608	0	0
22	../output/full/images/22.png	gauss	0	10	12	1	1	1	1	1	1	1	2	16	8	8	0	0	0	0	0.01	Sigmoid	L2	0.1	400	345.6230163574219	0.8640575408935547	0.461978	0.463668	0	0
